Number or provisional designation in packed form,H absolute magnitude,G slope parameter,Epoch in packed form .0 TT,Mean anomaly at epoch in degrees,Argument of perihelion J2000.0 degrees,Longitude of ascending node J2000.0 degrees,Inclination to ecliptic J2000.0 degrees,Orbital eccentricity,Mean daily motion degrees per day,Semimajor axis AU,Uncertainty parameter U,Reference,Number of observations,Number of oppositions,Year of first observation,Year of last observation,Arc length days,RMS residual arcsec,Coarse indicator of perturbers blank if unperturbed one opposition object,Precise indicator of perturbers blank if unperturbed one opposition object,Computer name,Readable designation,Date of last observation included in orbit solution YYYYMMDD
15760,7.3,0.15,K221L,33.34597,3.56645,359.24238,2.17808,0.0750607,0.00335657,44.1779772,1,MPO531191,106,16,1992,2019,-999,0.6,M-v,38h,MPCW,(15760) Albion,20190102
15788,7.95,0.15,K221L,358.98397,78.83883,354.64627,1.93572,0.3211941,0.00398484,39.4029693,2,MPO600179,143,20,1993,2020,-999,0.61,M-v,3Ek,Pan,(15788) 1993 SB,20201209
15789,7.0,0.15,K221L,72.41693,318.4655,354.47971,5.14526,0.1886996,0.00393399,39.7417594,2,MPO355237,91,9,1993,2009,-999,0.57,M-v,38h,MPCLINUX,(15789) 1993 SC,20090918
15807,7.32,0.15,K221L,84.48171,301.71437,176.75917,0.56266,0.0585864,0.00342538,43.5842873,3,MPO593359,69,14,1994,2020,-999,0.74,M-v,3Ek,Pan,(15807) 1994 GV9,20200617
15809,7.8,0.15,K221L,357.83409,237.89756,56.37205,14.04919,0.2230735,0.00355136,42.5474007,3,MPO 97234,52,7,1994,2001,-999,0.49,M-v,38h,MPCW,(15809) 1994 JS,20010612
15810,7.7,0.15,K221L,35.32529,104.79484,144.81726,3.79589,0.120003,0.00395296,39.6144958,1,MPO636302,101,15,1994,2021,-999,0.75,M-v,3Ek,Pan,(15810) Arawn,20210709
15820,7.58,0.15,K221L,4.5365,98.68674,317.25822,12.14415,0.3192597,0.00395439,39.6049843,2,MPO600179,176,18,1994,2021,-999,0.71,M-v,3Ek,Pan,(15820) 1994 TB,20210111
15836,7.7,0.15,K221L,70.44911,330.51372,127.5769,6.56471,0.0722488,0.00452595,36.1962097,2,MPO531192,55,10,1995,2018,-999,0.64,M-v,38h,MPCW,(15836) 1995 DA2,20180319
15874,5.46,0.15,K221L,9.73742,184.35233,217.70403,23.95981,0.5823488,0.00128637,83.7322602,1,MPO657072,449,22,1996,2021,-999,0.63,M-v,3Ek,Pan,(15874) 1996 TL66,20211017
15875,7.35,0.15,K221L,31.72923,75.02769,316.64939,5.70244,0.3324623,0.00398468,39.4040403,2,MPO600179,159,18,1996,2021,-999,0.69,M-v,3Ek,Pan,(15875) 1996 TP66,20210111
15883,7.1,0.15,K221L,75.80847,299.21331,127.28756,19.195,0.2131232,0.00308175,46.7667818,3,MPO531193,34,6,1997,2018,-999,0.52,M-v,38h,MPCW,(15883) 1997 CR29,20180316
16684,6.74,0.15,K221L,329.09051,254.22079,25.7621,3.75326,0.0522829,0.0033637,44.1154778,3,MPO593370,94,14,1994,2019,-999,0.52,M-v,3Ek,Pan,(16684) 1994 JQ1,20190729
19255,7.0,0.15,K221L,267.43938,119.76889,72.33276,1.4846,0.0306452,0.00353395,42.6870136,3,MPO365483,69,7,1994,2016,-999,0.74,M-v,38h,MPCLINUX,(19255) 1994 VK8,20160204
19299,8.1,0.15,K221L,15.94821,29.81812,15.83454,4.73105,0.2601849,0.00394647,39.6579148,1,MPO542755,43,7,1996,2020,-999,0.55,M-v,38h,Veres,(19299) 1996 SZ4,20200130
19308,4.88,0.15,K221L,140.67181,242.93088,355.10614,27.33953,0.1155311,0.0034318,43.5299179,2,MPO657105,224,19,1983,2021,-999,0.82,M-v,3Ek,Pan,(19308) 1996 TO66,20211014
19521,4.64,0.15,K221L,346.19585,56.00141,49.92472,12.02463,0.1015474,0.00319365,45.6679582,3,MPO600179,164,19,1991,2021,-999,0.53,M-v,3Ek,Pan,(19521) Chaos,20210111
20000,3.78,0.15,K221L,118.8215,264.38112,97.3298,17.19782,0.0578069,0.00352471,42.7615655,2,MPO600179,697,26,1954,2021,-999,0.4,M-v,3Ek,Pan,(20000) Varuna,20210307
20108,7.7,0.15,K221L,66.40305,143.92939,187.89051,19.52246,0.1494442,0.00395494,39.6013176,2,MPO531247,45,6,1995,2014,-999,0.5,M-v,38h,MPCW,(20108) 1995 QZ9,20140930
20161,7.5,0.15,K221L,58.77279,310.37272,342.862,12.39629,0.4006626,0.00294519,48.201453,3,MPO542755,27,6,1996,2016,-999,0.69,M-v,38h,Veres,(20161) 1996 TR66,20160812
24835,4.67,0.15,K221L,338.17266,69.47278,20.93612,27.00041,0.1047333,0.00363825,41.8672571,2,MPO657161,270,25,1982,2021,-999,0.56,M-v,3Ek,Pan,(24835) 1995 SM55,20211011
24952,7.58,0.15,K221L,347.06823,81.26922,346.69435,16.54138,0.2289564,0.00396334,39.5452952,2,MPO600179,93,15,1997,2021,-999,0.57,M-v,3Ek,Pan,(24952) 1997 QJ4,20210109
24978,7.5,0.15,K221L,75.13566,130.38426,50.50717,2.39841,0.046122,0.0034441,43.4262023,3,MPO157267,30,6,1998,2007,-999,0.19,M-v,38h,MPCAPO,(24978) 1998 HJ151,20070512
26181,4.92,0.15,K221L,12.94477,356.6447,194.29066,13.36991,0.5873776,0.00110087,92.8919312,4,MPO636448,338,23,1980,2021,-999,0.49,M-v,3Ek,Pan,(26181) 1996 GQ21,20210704
26308,5.5,0.15,K221L,50.75712,131.69778,183.00542,13.46865,0.374538,0.0029638,47.9994668,1,MPO531316,156,20,1982,2019,-999,0.37,M-v,38h,MPCW,(26308) 1998 SM165,20191025
26375,4.94,0.15,K221L,31.96566,158.80921,323.12369,7.63593,0.4138797,0.00241927,54.9557868,3,MPO600179,371,22,1990,2021,-999,0.49,M-v,3Ek,Pan,(26375) 1999 DE9,20210315
28978,3.6,0.15,K221L,290.74918,298.83437,71.04284,19.62885,0.2468867,0.00393703,39.721281,1,MPO452577,171,19,1982,2018,-999,0.29,M-v,38h,MPCLINUX,(28978) Ixion,20180620
29981,8.7,0.15,K221L,8.32463,172.63725,184.49153,5.9645,0.8742439,0.00102659,97.3205316,0,MPO337509,219,9,1997,2009,-999,0.43,M-v,38h,MPCLINUX,(29981) 1999 TD10,20090930
32929,8.4,0.15,K221L,22.27765,25.38477,341.89971,4.82726,0.2684059,0.0039091,39.9102864,0,MPO431871,154,12,1995,2015,-999,0.48,M-v,38h,MPCLINUX,(32929) 1995 QY9,20151207
33001,6.0,0.15,K221L,239.68528,276.49962,350.0697,1.46314,0.0399114,0.0034713,43.1991128,2,MPO431872,73,12,1997,2017,-999,0.27,M-v,38h,MPCLINUX,(33001) 1997 CU29,20171223
33128,6.97,0.15,K221L,83.93761,281.57688,132.88878,14.27756,0.3848049,0.00517356,33.1087914,2,MPO600179,207,19,1998,2021,-999,0.55,M-v,3Ek,Pan,(33128) 1998 BU48,20210222
33340,6.53,0.15,K221L,12.35446,323.61447,127.93188,3.04171,0.2498486,0.00403003,39.1078401,3,MPO600179,156,19,1998,2021,-999,0.59,M-v,3Ek,Pan,(33340) 1998 VG44,20210213
35671,5.68,0.15,K221L,304.01597,256.43891,192.05636,4.59518,0.0433801,0.00418811,38.1174825,2,MPO657243,387,21,1998,2021,-999,0.62,M-v,3Ek,Pan,(35671) 1998 SN165,20211011
38083,7.0,0.15,K221L,109.88599,78.66563,10.08275,12.78969,0.1533578,0.00406936,38.8554813,2,MPO593712,79,16,1999,2020,-999,0.73,M-v,3Ek,Pan,(38083) Rhadamanthus,20200421
38084,7.08,0.15,K221L,2.40713,66.89144,166.56573,13.15822,0.4147537,0.00237449,55.6445678,3,MPO636618,238,18,1999,2021,-999,0.75,M-v,3Ek,Pan,(38084) 1999 HB12,20210707
38628,4.84,0.15,K221L,9.70561,68.41739,169.45726,15.47497,0.2775207,0.00396691,39.5215725,2,MPO647390,772,22,1996,2021,-999,0.48,M-v,3Ek,Pan,(38628) Huya,20210907
40314,5.7,0.15,K221L,351.14296,59.30241,205.70624,24.84426,0.3064687,0.00288136,48.9107856,3,MPO647405,345,19,1999,2021,-999,0.39,M-v,3Ek,Pan,(40314) 1999 KR16,20210826
42301,4.21,0.15,K221L,81.08156,344.71235,301.51399,0.75289,0.2853023,0.00263628,51.8969843,2,MPO657302,287,22,1982,2021,-999,0.51,M-v,3Ek,Pan,(42301) 2001 UR163,20211004
42355,7.61,0.15,K221L,24.55199,158.76815,352.08912,2.43334,0.5338891,0.00427205,37.6164878,2,MPO636673,415,24,1989,2021,-999,0.59,M-v,3Ek,Pan,(42355) Typhon,20210615
44594,7.14,0.15,K221L,356.13398,144.10245,259.10247,2.6238,0.4596425,0.00530008,32.579768,1,MPO657320,662,22,1999,2021,-999,0.66,M-v,3Ek,Pan,(44594) 1999 OX3,20211012
45802,8.0,0.15,K221L,57.51099,100.42762,173.3354,1.17787,0.0128578,0.00339845,43.8142481,4,MPO186539,18,4,1999,2002,-999,0.25,M-v,38h,MPCW,(45802) 2000 PV29,20020607
47171,4.99,0.15,K221L,9.90445,294.64539,97.0561,8.41889,0.229347,0.00394945,39.6379654,1,MPO657339,549,23,1974,2021,-999,0.65,M-v,3Ek,Pan,(47171) Lempo,20211013
47932,6.2,0.15,K221L,17.13223,195.73029,26.18823,10.82785,0.2814586,0.00398251,39.418298,0,MPO385122,141,15,1989,2016,-999,0.38,M-v,38h,MPCLINUX,(47932) 2000 GN171,20160629
48639,4.94,0.15,K221L,47.18125,85.04491,260.19478,0.24806,0.2421067,0.00256796,52.8133987,2,MPO647466,265,20,1995,2021,-999,0.45,M-v,3Ek,Pan,(48639) 1995 TL8,20210815
49673,7.7,0.15,K221L,316.93466,266.31254,132.22495,22.47336,0.1085321,0.00343264,43.5228245,3,MPO284508,26,5,1999,2013,-999,0.34,M-v,38h,MPCLINUX,(49673) 1999 RA215,20131006
50000,2.5,0.15,K221L,297.82754,152.9125,189.06154,7.99101,0.0413667,0.00342995,43.5456089,2,MPO647474,665,30,1954,2021,-999,0.48,M-v,3Ek,Pan,(50000) Quaoar,20210830
52747,7.9,0.15,K221L,321.82652,248.32629,64.09396,0.5491,0.0644793,0.00331006,44.5908433,3,MPO 66038,22,6,1998,2004,-999,0.23,M-v,38h,MPCW,(52747) 1998 HM151,20040527
53311,6.7,0.15,K221L,304.5333,243.79555,51.3607,0.37172,0.0645147,0.00337131,44.0490996,3,MPO593939,128,17,1999,2020,-999,0.7,M-v,3Ek,Pan,(53311) Deucalion,20200624
54520,8.0,0.15,K221L,12.59149,304.51251,293.15076,5.69201,0.7699169,0.00070207,125.3762585,2,MPO 39448,24,4,1999,2002,-999,0.45,M-v,38h,MPCM,(54520) 2000 PJ30,20020809
55565,3.5,0.15,K221L,295.40308,298.21852,297.57352,24.4342,0.1271255,0.00306766,46.909887,2,MPO600179,453,20,1997,2021,-999,0.37,M-v,3Ek,Pan,(55565) 2002 AW197,20210315
55636,3.57,0.15,K221L,77.47284,342.73596,324.38985,25.829,0.1258785,0.00343589,43.4953841,2,MPO647507,948,26,1954,2021,-999,0.35,M-v,3Ek,Pan,(55636) 2002 TX300,20210905
55637,3.9,0.15,K221L,304.27517,275.82467,204.56671,19.39809,0.1407274,0.00352017,42.7983371,2,MPO657390,449,23,1991,2021,-999,0.66,M-v,3Ek,Pan,(55637) 2002 UX25,20211013
55638,5.3,0.15,K221L,30.00048,206.53571,199.69024,16.32492,0.2889062,0.00400726,39.2558426,0,MPO432112,255,19,1990,2017,-999,0.25,M-v,38h,MPCLINUX,(55638) 2002 VE95,20171208
58534,6.85,0.15,K221L,68.93451,333.91699,132.66081,2.90121,0.1175394,0.0032691,44.9624878,2,MPO594018,112,19,1997,2020,-999,0.72,M-v,3Ek,Pan,(58534) Logos,20200420
59358,6.9,0.15,K221L,55.27356,326.64067,120.16603,10.04455,0.2058409,0.00372847,41.1891001,2,MPO594030,161,19,1999,2020,-999,0.51,M-v,3Ek,Pan,(59358) 1999 CL158,20200418
60454,6.73,0.15,K221L,302.88651,294.85222,320.37435,1.16879,0.0852783,0.0033659,44.0962426,3,MPO594047,104,16,2000,2020,-999,0.6,M-v,3Ek,Pan,(60454) 2000 CH105,20200428
60458,7.38,0.15,K221L,344.36305,251.91982,312.41564,19.74597,0.3995769,0.00217566,58.9850186,4,MPO594047,85,13,2000,2020,-999,0.58,M-v,3Ek,Pan,(60458) 2000 CM114,20200218
