"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch.mjd","epoch.cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp.cal","per","per.y","moid","moid.ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT"
2015760," 15760 Albion (1992 QB1)",15760,Albion,,N,N,7.3,,,,,,,,,,,,,,,,,,,"JPL 7",2459600.5,59600,2022-01-21.0000000,J2000,.07501441435358366,44.17490936352841,40.86115440850068,2.178186540331563,359.2433083149486,3.547598938042513,33.36483137938611,47.48866431855613,.003356916766658702,2449661.370227474928,1994-11-04.8702275,107241.2648343155,293.610581339673,39.8595,15512.121615,35.9066,5.925,4.7232E-5,.0029422,.00064571,5.5165E-5,.0008642,.011391,.012504,.0031629,3.3537E-7,2.9043,10.714,TNO,"Otto Matic",9621,1992-08-30,2019-01-02,91,,,3,.81456,,,,,
2015789," 15789 (1993 SC)",15789,,,N,N,7.0,,,,,,,328,,0.022,,,,,,,,,60,"JPL 11",2459600.5,59600,2022-01-21.0000000,J2000,.1886215731064954,39.73554672717605,32.24056539524945,5.1450179904821,354.479685472524,318.4429389911986,72.44841951351488,47.23052805910265,.003934914357914016,2441188.810971036903,1971-08-25.3109710,91488.64937198882,250.482270696752,31.2294,12153.545598,27.1681,5.537,1.3377E-5,.0015382,.00073199,3.3634E-5,.0003246,.0073897,.0086943,.0018283,2.2849E-7,1.141,5.3124,TNO,"Otto Matic",9614,1993-09-23,2020-01-19,146,,,2,.68838,,,,,
2015807," 15807 (1994 GV9)",15807,,,N,N,7.32,,,,,,,,,,,,,,,,,,,"JPL 7",2459600.5,59600,2022-01-21.0000000,J2000,.05858819747155432,43.58467004091628,41.03112278582654,.5627295314913568,176.7629733027979,301.7172654327373,84.47481805045975,46.13821729600602,.0034253379810683,2434938.753183379700,1954-07-15.2531834,105099.1178066821,287.745702413914,40.0473,15585.207741,35.7498,5.898,2.5199E-5,.0036831,.0025141,8.827E-5,.0042649,.058375,.060602,.0038989,4.3419E-7,14.571,13.322,TNO,"Otto Matic",9540,1994-05-05,2020-06-17,61,,,3,.67996,,,,,
2015809," 15809 (1994 JS)",15809,,,N,N,7.8,,,,,,,,,,,,,,,,,,,"JPL 4",2459600.5,59600,2022-01-21.0000000,J2000,.2230718853342498,42.53916220858461,33.04987109417617,14.04839444692683,56.37159118006583,237.95101471,357.8051699757037,52.02845332299304,.003552390298150995,2460218.345968512722,2023-09-30.8459685,101340.2159631442,277.454390042832,32.0572,12475.700524,28.0067,5.530,.00032104,.020688,.0072099,.00072742,.00041988,.062087,.035225,.025303,2.5914E-6,9.5969,73.926,TNO,"Otto Matic",2259,1995-04-06,2001-06-12,38,,,4,.40709,,,,,
2015810," 15810 Arawn (1994 JR1)",15810,Arawn,,N,N,7.7,,,,,,,,,,5.49,,,,,,,,,"JPL 10",2459600.5,59600,2022-01-21.0000000,J2000,.120004053285237,39.61447712119219,34.86057929787385,3.795914002078159,144.8170247531371,104.7936355173234,35.32639851552344,44.36837494451054,.003952966937633582,2450663.820520289662,1997-08-03.3205203,91070.83506635946,249.33835747121,33.8498,13173.326666,29.5169,5.598,3.3979E-6,.00027204,.00012563,5.4154E-5,.0007093,.0036515,.0031467,.00030468,4.0718E-8,.70823,.93809,TNO,"Otto Matic",9920,1994-05-12,2021-07-09,95,,,2,.42864,,,,,
2015836," 15836 (1995 DA2)",15836,,,N,N,7.7,,,,,,,,,,,,,,,,,,,"JPL 8",2459600.5,59600,2022-01-21.0000000,J2000,.07202033591044021,36.18129755616019,33.57550835248994,6.565012910100756,127.5778242802151,330.348904166236,70.63266438472118,38.78708675983043,.004528744997172932,2444003.979456491012,1979-05-10.4794565,79492.22140454584,217.637840943315,32.5939,12684.568063,28.3903,5.370,1.9348E-5,.0015929,.00080541,6.8404E-5,.00045148,.021634,.022888,.0017077,2.9908E-7,4.0285,5.2497,TNO,"Otto Matic",9067,1995-03-30,2020-01-25,68,,,3,.76409,,,,,
2015874," 15874 (1996 TL66)",15874,,,N,N,5.46,,,,,,,,,,12,,,,,,,,,"JPL 21",2459600.5,59600,2022-01-21.0000000,J2000,.5823546221374375,83.73360062966431,34.97095127476905,23.95979479912135,217.7040158356334,184.3526135701844,9.73712924916385,132.4962499845596,.001286335998970134,2452030.837596895686,2001-05-01.3375969,279864.670108139,766.227707346034,33.9803,13224.113351,29.9903,6.022,1.6252E-5,.0035621,.00012833,1.8197E-5,3.1461E-5,.0003709,.00069239,.0056366,8.2084E-8,.062302,17.859,TNO,"Otto Matic",9139,1996-10-09,2021-10-17,489,,,1,.50053,,,,,
2015883," 15883 (1997 CR29)",15883,,,N,N,7.1,,,,,,,,,,,,,,,,,,,"JPL 6",2459600.5,59600,2022-01-21.0000000,J2000,.2131419198188402,46.76406442892725,36.79668195801376,19.1945532249297,127.2871336518332,299.1992183560088,75.82080171860633,56.73144689984074,.003082021745617383,2434999.504946534500,1954-09-14.0049465,116806.4438584568,319.798614259978,35.8533,13953.028761,31.9528,5.644,.00012799,.017397,.0083532,.00021512,.00018686,.063099,.077576,.021105,1.7198E-6,11.444,65.18,TNO,"Otto Matic",7711,1997-02-03,2018-03-16,34,,,4,.48892,,,,,
2016684," 16684 (1994 JQ1)",16684,,,N,N,6.74,,,,,,,,,,,,,,,,,,,"JPL 5",2459600.5,59600,2022-01-21.0000000,J2000,.05231116689079836,44.11849424045793,41.81060432527461,3.753232557308615,25.76173932630225,254.173256730701,329.1360123289662,46.42638415564125,.003363357650603878,2468777.040492353624,2047-03-07.5404924,107035.8960889465,293.048312358512,40.7973,15877.085241,36.5904,5.921,3.433E-5,.0030943,.0014623,7.3996E-5,.0007449,.043907,.04212,.0032562,3.5384E-7,11.566,11.261,TNO,"Otto Matic",9556,1994-05-11,2020-07-09,90,,,3,.6255,,,,,
2019255," 19255 (1994 VK8)",19255,,,N,N,7.0,,,,,,,,,,4.7,,,,,,,,,"JPL 7",2459600.5,59600,2022-01-21.0000000,J2000,.03068718721971088,42.69815137173178,41.38786520665189,1.484691465627901,72.33489850522109,119.3286323160693,267.88500143684,44.00843753681167,.003532567467763333,2485676.434685964599,2093-06-12.9346860,101908.8816520003,279.011311846681,40.3889,15718.148213,35.9229,5.846,.00016905,.011418,.017864,.0002723,.0018243,.29759,.28336,.011768,1.417E-6,70.106,40.877,TNO,"Otto Matic",7347,1995-12-24,2016-02-04,66,,,4,.64148,,,,,
