spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch.mjd,epoch.cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp.cal,per,per.y,moid,moid.ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT,sigma_a/a,pdes2,Nopp,Mean anomaly degrees barycentric 2022-01-21 00:00:00,Argument of perihelion J2000.0 degrees barycentric 2022-01-21 00:00:00,Longitude of ascending node J2000.0 degrees barycentric 2022-01-21 00:00:00,Inclination to ecliptic J2000.0 degrees barycentric 2022-01-21 00:00:00,Orbital eccentricity barycentric 2022-01-21 00:00:00,Mean daily motion degrees per day barycentric 2022-01-21 00:00:00,Semimajor axis AU barycentric 2022-01-21 00:00:00,Perihelion distance AU barycentric 2022-01-21 00:00:00,Orbital period days barycentric 2022-01-21 00:00:00,Unpacked MPC designation,Packed MPC designation,e_e,e_q,e_tp,e_node,e_peri,e_i,q_e,q_q,q_tp,q_node,q_peri,q_i,tp_e,tp_q,tp_tp,tp_node,tp_peri,tp_i,node_e,node_q,node_tp,node_node,node_peri,node_i,peri_e,peri_q,peri_tp,peri_node,peri_peri,peri_i,i_e,i_q,i_tp,i_node,i_peri,i_i
2015760, 15760 Albion (1992 QB1),15760,Albion,,N,N,7.3,,,,,,,,,,,,,,,,,,,JPL 7,2459600.5,59600,2022-01-21.0000000,J2000,0.07501441435358366,44.17490936352841,40.86115440850068,2.178186540331563,359.2433083149486,3.547598938042513,33.36483137938611,47.48866431855613,0.0033569167666587,2449661.3702274747,1994-11-04.8702275,107241.2648343155,293.610581339673,39.8595,15512.121615,35.9066,5.925,4.7232e-05,0.0029422,0.00064571,5.5165e-05,0.0008642,0.011391,0.012504,0.0031629,3.3537e-07,2.9043,10.714,TNO,Otto Matic,9621.0,1992-08-30,2019-01-02,91,,,3,0.81456,,,,,,6.660341905373851e-05,15760,16,34.23636283382879,2.829094502569241,359.4123253505991,2.185465653475154,0.06936064129000774,0.003387090923044189,43.93179349853596,40.88465612845731,106285.8978927101,15760,15760,2.261870445806418E-9,2.938629208132723E-8,8.89264822385066E-5,-1.172750380652023E-10,3.464695066811973E-7,2.049485039679922E-11,2.938629208132723E-8,3.9489072723623E-7,.001374747930349145,-1.672339825001247E-9,5.356729306650244E-6,2.514204646926704E-10,8.89264822385066E-5,.001374747930349145,7.427635390013383,-7.211005519471476E-6,.02893537750490501,5.302741909229253E-7,-1.172750380652023E-10,-1.672339825001247E-9,-7.211005519471476E-6,7.357411809786548E-7,-7.632934968417036E-7,4.32912094353971E-8,3.464695066811973E-7,5.356729306650244E-6,.02893537750490501,-7.632934968417036E-7,.0001134571730498297,-4.119385491857294E-8,2.049485039679922E-11,2.514204646926704E-10,5.302741909229253E-7,4.32912094353971E-8,-4.119385491857294E-8,3.05351776527485E-9
2015789, 15789 (1993 SC),15789,,,N,N,7.0,,,,,,,328.0,,0.022,,,,,,,,,60.0,JPL 11,2459600.5,59600,2022-01-21.0000000,J2000,0.1886215731064954,39.73554672717605,32.24056539524945,5.1450179904821,354.479685472524,318.4429389911986,72.44841951351488,47.23052805910265,0.00393491435791401,2441188.810971037,1971-08-25.3109710,91488.64937198882,250.482270696752,31.2294,12153.545598,27.1681,5.537,1.3377e-05,0.0015382,0.00073199,3.3634e-05,0.0003246,0.0073897,0.0086943,0.0018283,2.2849e-07,1.141,5.3124,TNO,Otto Matic,9614.0,1993-09-23,2020-01-19,146,,,2,0.68838,,,,,,3.871093080866029e-05,15789,9,74.05396814892877,316.9884105913393,354.6511581115499,5.156781598145673,0.1856797981526297,0.003968811928601994,39.52663323584517,32.18733595496042,90707.24601626796,15789,15789,1.691494712670882E-10,9.155372078639969E-9,1.493965249227093E-5,2.551975808806511E-11,9.56631338855168E-8,1.641900834677034E-11,9.155372078639969E-9,5.512183980236564E-7,.0008719538817499796,1.198233111570305E-9,5.631362292343068E-6,9.066249585629007E-10,1.493965249227093E-5,.0008719538817499796,1.392343426697134,2.043517955968013E-6,.00896854596440104,1.469020903717594E-6,2.551975808806511E-11,1.198233111570305E-9,2.043517955968013E-6,1.040745853481904E-7,-9.071568037813657E-8,1.036030516389816E-8,9.56631338855168E-8,5.631362292343068E-6,.00896854596440104,-9.071568037813657E-8,5.791528513850555E-5,-8.906796123465644E-10,1.641900834677034E-11,9.066249585629007E-10,1.469020903717594E-6,1.036030516389816E-8,-8.906796123465644E-10,1.141197311966623E-9
2015807, 15807 (1994 GV9),15807,,,N,N,7.32,,,,,,,,,,,,,,,,,,,JPL 7,2459600.5,59600,2022-01-21.0000000,J2000,0.05858819747155432,43.58467004091628,41.03112278582654,0.5627295314913568,176.7629733027979,301.7172654327373,84.47481805045975,46.13821729600602,0.0034253379810683,2434938.75318338,1954-07-15.2531834,105099.1178066821,287.745702413914,40.0473,15585.207741,35.7498,5.898,2.5199e-05,0.0036831,0.0025141,8.827e-05,0.0042649,0.058375,0.060602,0.0038989,4.3419e-07,14.571,13.322,TNO,Otto Matic,9540.0,1994-05-05,2020-06-17,61,,,3,0.67996,,,,,,8.450448280421512e-05,15807,14,81.08043380859995,304.7821779512235,176.8076845890448,0.5639006488873912,0.06116657240963843,0.003408558776115853,43.74713792433618,41.07127544477283,105616.4859243618,15807,15807,1.002329221616272E-9,6.161055851234625E-8,.0003701382958100476,-2.1112939933632E-10,1.462142657695242E-6,-2.461895868835784E-13,6.161055851234625E-8,5.030996218485E-6,.02842381537146386,-1.773275615970665E-8,.0001130159871526844,-7.936605089831544E-11,.0003701382958100476,.02842381537146386,162.602739983295,-9.959667656784377E-5,.6456491083648003,-3.839610504667894E-7,-2.1112939933632E-10,-1.773275615970665E-8,-9.959667656784377E-5,1.783572095528166E-5,-1.823105600528195E-5,3.469587069682726E-7,1.462142657695242E-6,.0001130159871526844,.6456491083648003,-1.823105600528195E-5,.002581898610570791,-3.484961741588038E-7,-2.461895868835784E-13,-7.936605089831544E-11,-3.839610504667894E-7,3.469587069682726E-7,-3.484961741588038E-7,7.737810172212009E-9
2015809, 15809 (1994 JS),15809,,,N,N,7.8,,,,,,,,,,,,,,,,,,,JPL 4,2459600.5,59600,2022-01-21.0000000,J2000,0.2230718853342498,42.53916220858461,33.04987109417617,14.04839444692683,56.37159118006583,237.95101471,357.8051699757037,52.02845332299304,0.00355239029815099,2460218.345968513,2023-09-30.8459685,101340.2159631442,277.454390042832,32.0572,12475.700524,28.0067,5.53,0.00032104,0.020688,0.0072099,0.00072742,0.00041988,0.062087,0.035225,0.025303,2.5914e-06,9.5969,73.926,TNO,Otto Matic,2259.0,1995-04-06,2001-06-12,38,,,4,0.40709,,,,,,0.00048632833666444573,15809,7,358.0855854645806,237.4850193971797,56.32599337058937,14.04474732789105,0.2166650828919657,0.003599264958349287,42.18787248954951,33.04723359956558,100020.4219933575,15809,15809,1.025729421612728E-7,2.343202216467396E-7,-.0009476612114232141,1.637920180147775E-8,-4.189838105993529E-6,3.96048737259032E-8,2.343202216467396E-7,5.188260881499498E-5,-.06853680315897416,2.743513397158365E-7,-.0004505880878557057,7.98656629223068E-7,-.0009476612114232141,-.06853680315897416,94.79715686700109,-.0004554777792034022,.6100160768946378,-.001275861231051483,1.637920180147775E-8,2.743513397158365E-7,-.0004554777792034022,1.7681902982798E-7,-2.861398527920477E-6,2.722703840259623E-7,-4.189838105993529E-6,-.0004505880878557057,.6100160768946378,-2.861398527920477E-6,.003965381594847461,-7.927783431721821E-6,3.96048737259032E-8,7.98656629223068E-7,-.001275861231051483,2.722703840259623E-7,-7.927783431721821E-6,5.290794936810005E-7
2015810, 15810 Arawn (1994 JR1),15810,Arawn,,N,N,7.7,,,,,,,,,,5.49,,,,,,,,,JPL 10,2459600.5,59600,2022-01-21.0000000,J2000,0.120004053285237,39.61447712119219,34.86057929787385,3.795914002078159,144.8170247531371,104.7936355173234,35.32639851552344,44.36837494451054,0.00395296693763358,2450663.8205202897,1997-08-03.3205203,91070.83506635946,249.33835747121,33.8498,13173.326666,29.5169,5.598,3.3979e-06,0.00027204,0.00012563,5.4154e-05,0.0007093,0.0036515,0.0031467,0.00030468,4.0718e-08,0.70823,0.93809,TNO,Otto Matic,9920.0,1994-05-12,2021-07-09,95,,,2,0.42864,,,,,,6.86718643711365e-06,15810,15,37.85159118627806,102.0840108409171,144.7523104193783,3.803150601839401,0.1170024582999448,0.003995057668416584,39.35332827940239,34.74889212842757,90111.34003046411,15810,15810,9.518327517782254E-12,2.702910086122003E-10,1.554746557494185E-6,4.705107851094158E-11,7.83046356460924E-9,9.06816188468952E-12,2.702910086122003E-10,1.922987484344862E-8,9.810806708487836E-5,2.686846924104268E-9,5.018048327148543E-7,5.67898738891117E-10,1.554746557494185E-6,9.810806708487836E-5,.5065642436747337,1.319200526176435E-5,.002588064300018835,2.827664930820663E-6,4.705107851094158E-11,2.686846924104268E-9,1.319200526176435E-5,4.990470121716807E-7,-4.303908534520257E-7,-3.759534642632127E-8,7.83046356460924E-9,5.018048327148543E-7,.002588064300018835,-4.303908534520257E-7,1.372184934009874E-5,5.202074537755333E-8,9.06816188468952E-12,5.67898738891117E-10,2.827664930820663E-6,-3.759534642632127E-8,5.202074537755333E-8,2.953292861763928E-9
2015836, 15836 (1995 DA2),15836,,,N,N,7.7,,,,,,,,,,,,,,,,,,,JPL 8,2459600.5,59600,2022-01-21.0000000,J2000,0.07202033591044021,36.18129755616019,33.57550835248994,6.565012910100756,127.5778242802151,330.348904166236,70.63266438472118,38.78708675983043,0.00452874499717293,2444003.9794564913,1979-05-10.4794565,79492.22140454584,217.637840943315,32.5939,12684.568063,28.3903,5.37,1.9348e-05,0.0015929,0.00080541,6.8404e-05,0.00045148,0.021634,0.022888,0.0017077,2.9908e-07,4.0285,5.2497,TNO,Otto Matic,9067.0,1995-03-30,2020-01-25,68,,,3,0.76409,,,,,,4.4025507861555246e-05,15836,10,66.96038088314047,334.0284099903744,127.4861881853874,6.555091980741928,0.07408369695800075,0.004495223722252598,36.37720238042191,33.68224474309087,80085.0018249149,15836,15836,5.08130088721776E-10,1.495748689603398E-8,7.464301827629344E-5,-1.210915436625048E-10,3.955853836695976E-7,1.431792903374212E-11,1.495748689603398E-8,4.971971379439741E-7,.002429294758585672,-3.932859273664865E-9,1.291393270594547E-5,4.034195816578689E-10,7.464301827629344E-5,.002429294758585672,11.93257331092371,-1.924380709032351E-5,.06339022098421894,2.019830556159739E-6,-1.210915436625048E-10,-3.932859273664865E-9,-1.924380709032351E-5,2.040628978828103E-7,-3.049640444223933E-7,2.973190403198774E-8,3.955853836695976E-7,1.291393270594547E-5,.06339022098421894,-3.049640444223933E-7,.0003369833186993339,-1.884499898820384E-8,1.431792903374212E-11,4.034195816578689E-10,2.019830556159739E-6,2.973190403198774E-8,-1.884499898820384E-8,4.618923422356968E-9
2015874, 15874 (1996 TL66),15874,,,N,N,5.46,,,,,,,,,,12.0,,,,,,,,,JPL 21,2459600.5,59600,2022-01-21.0000000,J2000,0.5823546221374375,83.73360062966431,34.97095127476905,23.95979479912135,217.7040158356334,184.3526135701844,9.73712924916385,132.4962499845596,0.00128633599897013,2452030.837596896,2001-05-01.3375969,279864.670108139,766.227707346034,33.9803,13224.113351,29.9903,6.022,1.6252e-05,0.0035621,0.00012833,1.8197e-05,3.1461e-05,0.0003709,0.00069239,0.0056366,8.2084e-08,0.062302,17.859,TNO,Otto Matic,9139.0,1996-10-09,2021-10-17,489,,,1,0.50053,,,,,,4.254086738434194e-05,15874,22,9.749825400686431,184.5776390233731,217.7710657847103,23.97869888434652,0.580075407970658,0.00129461532208211,83.41349948564218,35.02737974124804,278074.8797418971,15874,15874,2.647851110233518E-10,2.051092528022626E-9,8.527595376032102E-7,1.63807008485165E-11,4.998344452264067E-9,3.807132906683771E-11,2.051092528022626E-9,1.627688647885368E-8,7.147388869702932E-6,1.241180467348149E-10,4.207989401643729E-8,2.926375709590915E-10,8.527595376032102E-7,7.147388869702932E-6,.003729177134128586,4.708825741070274E-8,2.200697452955707E-5,1.16233967595447E-7,1.63807008485165E-11,1.241180467348149E-10,4.708825741070274E-8,9.815436455894182E-10,-6.201861971177066E-10,5.344893477626029E-10,4.998344452264067E-9,4.207989401643729E-8,2.200697452955707E-5,-6.201861971177066E-10,1.308376523315835E-7,1.956664326875169E-10,3.807132906683771E-11,2.926375709590915E-10,1.16233967595447E-7,5.344893477626029E-10,1.956664326875169E-10,3.310995877945232E-10
2015883, 15883 (1997 CR29),15883,,,N,N,7.1,,,,,,,,,,,,,,,,,,,JPL 6,2459600.5,59600,2022-01-21.0000000,J2000,0.2131419198188402,46.76406442892725,36.79668195801376,19.1945532249297,127.2871336518332,299.1992183560088,75.82080171860633,56.73144689984074,0.00308202174561738,2434999.5049465345,1954-09-14.0049465,116806.4438584568,319.798614259978,35.8533,13953.028761,31.9528,5.644,0.00012799,0.017397,0.0083532,0.00021512,0.00018686,0.063099,0.077576,0.021105,1.7198e-06,11.444,65.18,TNO,Otto Matic,7711.0,1997-02-03,2018-03-16,34,,,4,0.48892,,,,,,0.00037201642356045057,15883,6,74.29550634833836,300.8310626749084,127.1856525635341,19.1514585161683,0.2130009454458019,0.003056452692020241,47.04553208555368,37.02478927232994,117783.5995760329,15883,15883,1.885835473540784E-8,9.237054793359132E-7,.001446265021950254,2.537110770054563E-9,7.610722691548467E-6,7.578120938081131E-9,9.237054793359132E-7,6.541378793700815E-5,.08823282373943978,1.258525195642074E-7,.0004866715356930395,4.249488771698345E-7,.001446265021950254,.08823282373943978,125.9356655412174,.0001958954845610657,.6819643027669755,.000627379474040362,2.537110770054563E-9,1.258525195642074E-7,.0001958954845610657,3.529357890969357E-8,9.996618293389261E-7,3.188208307757775E-8,7.610722691548467E-6,.0004866715356930395,.6819643027669755,9.996618293389261E-7,.003714893596408108,3.332170323562034E-6,7.578120938081131E-9,4.249488771698345E-7,.000627379474040362,3.188208307757775E-8,3.332170323562034E-6,4.64084142510197E-8
2016684, 16684 (1994 JQ1),16684,,,N,N,6.74,,,,,,,,,,,,,,,,,,,JPL 5,2459600.5,59600,2022-01-21.0000000,J2000,0.05231116689079836,44.11849424045793,41.81060432527461,3.753232557308615,25.76173932630225,254.173256730701,329.1360123289662,46.42638415564125,0.00336335765060387,2468777.0404923535,2047-03-07.5404924,107035.8960889465,293.048312358512,40.7973,15877.085241,36.5904,5.921,3.433e-05,0.0030943,0.0014623,7.3996e-05,0.0007449,0.043907,0.04212,0.0032562,3.5384e-07,11.566,11.261,TNO,Otto Matic,9556.0,1994-05-11,2020-07-09,90,,,3,0.6255,,,,,,7.013611985792656e-05,16684,14,331.2948091224849,251.7593318757096,25.64260416084162,3.744526021431395,0.04974585084415469,0.003371400117813761,44.06799638102476,41.87579640605357,106780.5622055467,16684,16684,1.538429274127212E-9,4.718046282764895E-8,-.0003803535003956908,2.300375381150308E-10,-1.428754391699719E-6,9.168916232890242E-11,4.718046282764895E-8,1.592201004669748E-6,-.01282807771965324,8.468767623927801E-9,-4.82455215425484E-5,3.093048525744634E-9,-.0003803535003956908,-.01282807771965324,103.4840699710833,-6.824317077878196E-5,.3891802663585974,-2.490139450351446E-5,2.300375381150308E-10,8.468767623927801E-9,-6.824317077878196E-5,5.619306605455244E-7,-8.175985406786388E-7,5.408990942136859E-8,-1.428754391699719E-6,-4.82455215425484E-5,.3891802663585974,-8.175985406786388E-7,.001464201517772885,-1.476124403076686E-7,9.168916232890242E-11,3.093048525744634E-9,-2.490139450351446E-5,5.408990942136859E-8,-1.476124403076686E-7,5.427427845928535E-9
2019255, 19255 (1994 VK8),19255,,,N,N,7.0,,,,,,,,,,4.7,,,,,,,,,JPL 7,2459600.5,59600,2022-01-21.0000000,J2000,0.03068718721971088,42.69815137173178,41.38786520665189,1.484691465627901,72.33489850522109,119.3286323160693,267.88500143684,44.00843753681167,0.00353256746776333,2485676.4346859646,2093-06-12.9346860,101908.8816520003,279.011311846681,40.3889,15718.148213,35.9229,5.846,0.00016905,0.011418,0.017864,0.0002723,0.0018243,0.29759,0.28336,0.011768,1.417e-06,70.106,40.877,TNO,Otto Matic,7347.0,1995-12-24,2016-02-04,66,,,4,0.64148,,,,,,0.0002674120455612807,19255,7,271.8071043792683,115.6976386002074,72.38188169465681,1.487259386748303,0.03345499212773471,0.003523820762171127,42.78789914697154,41.3564303178473,102161.8363410157,19255,19255,1.901963997990237E-8,-2.104508385340896E-6,.009825665878156146,1.475742422867638E-9,4.048689641637207E-5,4.668880795343885E-11,-2.104508385340896E-6,.0002732328177504634,-1.479537727270135,-2.276689247459718E-7,-.005974977622687941,-1.185270033742106E-8,.009825665878156146,-1.479537727270135,8890.728811281664,.001387330043569097,35.4524342247274,8.904446015714338E-5,1.475742422867638E-9,-2.276689247459718E-7,.001387330043569097,3.330083770163875E-6,2.194527714083332E-6,-2.361771639254421E-7,4.048689641637207E-5,-.005974977622687941,35.4524342247274,2.194527714083332E-6,.1415819120945949,5.829395773132515E-7,4.668880795343885E-11,-1.185270033742106E-8,8.904446015714338E-5,-2.361771639254421E-7,5.829395773132515E-7,7.374097137964882E-8
